	0	1	2	3
96	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_240080&category=dirSer	진양윤(秦陽胤)	1202	G002+AKS-KHF_13C9C4C591C724U9999X0
97	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_240081&category=dirSer	송함(宋咸)	1202	G002+AKS-KHF_12C1A1D568FFFFU9999X1
98	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1202_230079&category=dirSer	최천우(崔天祐)	1202	G002+AKS-KHF_13CD5CCC9CC6B0U9999X0
99	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1203_240082&category=dirSer	김명여(金命予)	1203	G002+AKS-KHF_13AE40BA85C5ECU9999X0
100	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1203_240083&category=dirSer	이세흥(李世興)	1203	G002+AKS-KHF_13C774C138D765U9999X1
101	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1204_230084&category=dirSer	정승조(鄭丞祖)	1204	G002+AKS-KHF_13C815C2B9C870U9999X1
102	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1205_240085&category=dirSer	이위(李葳)	1205	G002+AKS-KHF_12C774C704FFFFU9999X6
103	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1207_240086&category=dirSer	김남석(金南石)	1207	G002+AKS-KHF_13AE40B0A8C11DU9999X0
104	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1207_240087&category=dirSer	권시위(權時偉)	1207	G002+AKS-KHF_13AD8CC2DCC704U9999X0
105	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1209_240088&category=dirSer	추영수(秋永壽)	1209	G002+AKS-KHF_13CD94C601C218U9999X0
106	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1209_240089&category=dirSer	신계백(申季伯)	1209	G002+AKS-KHF_13C2E0ACC4BC31U9999X0
107	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1211_240090&category=dirSer	정종서(鄭宗諝)	1211	G002+AKS-KHF_12C815C9C0FFFFD1264X0
108	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1211_240091&category=dirSer	정홍주(鄭弘柱)	1211	G002+AKS-KHF_13C815D64DC8FCU9999X0
109	http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KS_5COb_1212_240092&category=dirSer	민부(閔𣞒)	1212	G002+AKS-KHF_12BBFCBD80FFFFU9999X0
