exam_id	name	exam_year	uci
EXM_KM_5COb_9999_000210	이지미(李之美)	_	G002+AKS-KHF_13C774C9C0BBF8U9999X0
EXM_KM_5COb_9999_000211	강후현(康侯顯)	_	G002+AKS-KHF_13AC15D6C4D604U9999X0
EXM_KM_5COb_9999_000212	임존(林存)	_	G002+AKS-KHF_12C784C874FFFFU9999X0
EXM_KM_5COb_1106_000213	황보허(皇甫許)	1106	G002+AKS-KHF_13D669BCF4D5C8U9999X0
EXM_KM_5COb_1106_000214	박경산(朴景山)	1106	G002+AKS-KHF_13BC15ACBDC0B0B1081X0
EXM_KM_5COb_1106_000215	이인실(李仁實)	1106	G002+AKS-KHF_13C774C778C2E4B1081X0
EXM_KM_5COb_1106_000216	원항(元沆)	1106	G002+AKS-KHF_12C6D0D56DFFFFB1080X0
EXM_KM_5COb_1107_000217	한즉유(韓卽由)	1107	G002+AKS-KHF_13D55CC989C720U9999X0
EXM_KM_5COb_1107_000218	이식(李湜)	1107	G002+AKS-KHF_12C774C2DDFFFFU9999X5
EXM_KM_5COb_1107_000219	견유작(甄惟綽)	1107	G002+AKS-KHF_13ACACC720C791U9999X0
EXM_KM_5COb_1107_000220	고조기(高兆基)	1107	G002+AKS-KHF_13ACE0C870AE30D1157X0
EXM_KM_5COb_1107_000221	왕충(王冲)	1107	G002+AKS-KHF_12C655CDA9FFFFB1078X0
EXM_KM_5COb_1107_000222	이양발(李揚發)	1107	G002+AKS-KHF_13C774C591BC1CU9999X0
EXM_KM_5COb_1107_000223	최경운(崔慶雲)	1107	G002+AKS-KHF_13CD5CACBDC6B4U9999X1
EXM_KM_5COb_1107_000224	안영조(安永祚)	1107	G002+AKS-KHF_13C548C601C870U9999X0
EXM_KM_5COb_1107_000225	임극일(林郄一)	1107	G002+AKS-KHF_13C784ADF9C77CU9999X0
EXM_KM_5COb_1107_000226	송개(宋開)	1107	G002+AKS-KHF_12C1A1AC1CFFFFU9999X0
EXM_KM_5COb_1108_000227	노현용(盧顯庸)	1108	G002+AKS-KHF_13B178D604C6A9U9999X0
EXM_KM_5COb_1108_000228	유인저(柳仁著)	1108	G002+AKS-KHF_13C720C778C800D1113X0
EXM_KM_5COb_1109_000229	이정승(李正升)	1109	G002+AKS-KHF_13C774C815C2B9U9999X0
EXM_KM_5COb_1112_000230	정지원(鄭之元)	1112	G002+AKS-KHF_13C815C9C0C0C1D1135X0
EXM_KM_5COb_1112_000231	최유청(崔惟淸)	1112	G002+AKS-KHF_13CD5CC720CCADB1093X0
EXM_KM_5COb_1112_000232	문공유(文公裕)	1112	G002+AKS-KHF_13BB38ACF5C720B1088X0
EXM_KM_5COb_1112_000233	권적(權適)	1112	G002+AKS-KHF_12AD8CC801FFFFB1094X0
EXM_KM_5COb_1114_000234	백유(白曘)	1114	G002+AKS-KHF_12BC31C720FFFFU9999X0
EXM_KM_5COb_1114_000235	최함(崔諴)	1114	G002+AKS-KHF_12CD5CD568FFFFB1094X0
EXM_KM_5COb_1114_000236	문공원(文公元)	1114	G002+AKS-KHF_13BB38ACF5C6D0B1074X0
EXM_KM_5COb_1114_000237	윤언이(尹彦頤)	1114	G002+AKS-KHF_13C724C5B8C774B1090X0
EXM_KM_5COb_1114_000238	허순(許純)	1114	G002+AKS-KHF_12D5C8C21CFFFFU9999X0
EXM_KM_5COb_1114_000239	임완(林完)	1114	G002+AKS-KHF_12C784C644FFFFU9999X0
EXM_KM_5COb_1115_000240	김정(金精)	1115	G002+AKS-KHF_12AE40C815FFFFU9999X8
EXM_KM_5COb_1116_000241	배우(裵祐)	1116	G002+AKS-KHF_12BC30C6B0FFFFU9999X0
EXM_KM_5COb_1116_000242	임허윤(林許允)	1116	G002+AKS-KHF_13C784D5C8C724U9999X0
EXM_KM_5COb_1118_000243	김복윤(金福允)	1118	G002+AKS-KHF_13AE40BCF5C724U9999X0
EXM_KM_5COb_1120_000244	이지저(李之氐)	1120	G002+AKS-KHF_13C774C9C0C800B1092X0
