munjip_id	문집	文集	성명	姓名	birthyear	deathyear	ancestralseat	choronym
ITKC_MI_0219A	송애집	松崖集	박여룡	朴汝龍	1541	1611	沔川	沔川 朴
ITKC_MI_0220A	간재집	艮齋集	이덕홍	李德弘	1541	1596	永川	永川 李
ITKC_MI_0221A	사류재집	四留齋集	이정암	李廷馣	1541	1600	慶州	慶州 李
ITKC_MI_0222A	만전집	晚全集	홍가신	洪可臣	1541	1615	南陽	南陽 洪
ITKC_MI_0223A	풍애집	楓崖集	안민학	安敏學	1542	1601	廣州	廣州 安
ITKC_MI_0224A	서애집	西厓集	유성룡	柳成龍	1542	1607	豐山	豐山 柳
ITKC_MI_0225A	옥산시고	玉山詩稿	이우	李瑀	1542	1609	德水	德水 李
ITKC_MI_0226A	고담일고	孤潭逸稿	이순인	李純仁	1533	1592	全義	全義 李
ITKC_MI_0227A	한강집	寒岡集	정구	鄭逑	1543	1620	淸州	淸州 鄭
ITKC_MI_0228A	청계집	靑溪集	양대박	梁大樸	1543	1592	南原	南原 梁
ITKC_MI_0229A	송암집	松巖集	이로	李魯	1544	1598	固城	固城 李
ITKC_MI_0230A	중봉집	重峰集	조헌	趙憲	1544	1592	白川	白川 趙
ITKC_MI_0231A	촌은집	村隱集	유희경	劉希慶	1545	1636	江華	江華 劉
ITKC_MI_0232A	이충무공전서	李忠武公全書	이순신	李舜臣	1545	1598	德水	德水 李
ITKC_MI_0233A	지산집	芝山集	조호익	曺好益	1545	1609	昌寧	昌寧 曺
ITKC_MI_0234A	지헌집	芝軒集	정사성	鄭士誠	1545	1607	淸州	淸州 鄭
ITKC_MI_0235A	부사집	浮査集	성여신	成汝信	1546	1632	昌寧	昌寧 成
ITKC_MI_0236A	용담집	龍潭集	박이장	朴而章	1547	1622	順天	順天 朴
ITKC_MI_0237A	오리집	梧里集	이원익	李元翼	1547	1634	全州	全州 李
ITKC_MI_0238A	사계유고	沙溪遺稿	김장생	金長生	1548	1631	光山	光山 金
ITKC_MI_0239A	일송집	一松集	심희수	沈喜壽	1548	1622	靑松	靑松 沈
ITKC_MI_0240A	악록집	岳麓集	허성	許筬	1548	1612	陽川	陽川 許
ITKC_MI_0241A	서경집	西坰集	유근	柳根	1549	1627	晉州	晉州 柳
ITKC_MI_0242A	지퇴당집	知退堂集	이정형	李廷馨	1549	1607	慶州	慶州 李
ITKC_MI_0243A	임백호집	林白湖集	임제	林悌	1549	1587	羅州	羅州 林
ITKC_MI_0244A	천곡집	泉谷集	송상현	宋象賢	1551	1592	礪山	礪山 宋
ITKC_MI_0245A	하곡집	荷谷集	허봉	許篈	1551	1588	陽川	陽川 許
ITKC_MI_0246A	망우집	忘憂集	곽재우	郭再祐	1552	1617	玄風	玄風 郭
ITKC_MI_0247A	태천집	苔泉集	민인백	閔仁伯	1552	1626	驪興	驪興 閔
ITKC_MI_0248A	만취집	晚翠集	오억령	吳億齡	1552	1618	同福	同福 吳
ITKC_MI_0249A	구암유고	久菴遺稿	한백겸	韓百謙	1552	1615	淸州	淸州 韓
ITKC_MI_0250A	태촌집	泰村集	고상안	高尙顏	1553	1623	開城	開城 高
ITKC_MI_0251A	오봉집	五峯集	이호민	李好閔	1553	1634	延安	延安 李
ITKC_MI_0252A	여헌집	旅軒集	장현광	張顯光	1554	1637	仁同	仁同 張
ITKC_MI_0253A	백졸재유고	百拙齋遺稿	한응인	韓應寅	1554	1614	淸州	淸州 韓
ITKC_MI_0254A	손곡시집	蓀谷詩集	이달	李達	1539	1610	新平	新平 李
ITKC_MI_0255A	송정집	松亭集	하수일	河受一	1553	1612	晉州	晉州 河
ITKC_MI_0256A	검간집	黔澗集	조정	趙靖	1555	1636	豐壤	豐壤 趙
ITKC_MI_0257A	계은유고	溪隱遺稿	이정립	李廷立	1556	1595	廣州	廣州 李
ITKC_MI_0258A	오산집	五山集	차천로	車天輅	1556	1615	延安	延安 車
ITKC_MI_0259A	금역당집	琴易堂集	배용길	裵龍吉	1556	1609	興海	興海 裵
ITKC_MI_0260A	백사집	白沙集	이항복	李恒福	1556	1618	慶州	慶州 李
ITKC_MI_0261A	유천유고	柳川遺稿	한준겸	韓浚謙	1557	1627	淸州	淸州 韓
ITKC_MI_0262A	운천집	雲川集	김용	金涌	1557	1620	義城	義城 金
ITKC_MI_0263A	약봉유고	藥峯遺稿	서성	徐渻	1558	1631	達成	達成 徐
ITKC_MI_0264A	외재집	畏齋集	이후경	李厚慶	1558	1630	星州	星州 李
ITKC_MI_0265A	어우집	於于集	유몽인	柳夢寅	1559	1623	興陽	興陽 柳
ITKC_MI_0266A	창랑집	滄浪集	성문준	成文濬	1559	1626	昌寧	昌寧 成
ITKC_MI_0267A	추탄집	楸灘集	오윤겸	吳允謙	1559	1636	海州	海州 吳
ITKC_MI_0268A	창석집	蒼石集	이준	李埈	1560	1635	興陽	興陽 李
ITKC_MI_0269A	선원유고	仙源遺稿	김상용	金尙容	1561	1637	安東	安東 金
ITKC_MI_0270A	노계집	蘆溪集	박인로	朴仁老	1561	1642	密陽	密陽 朴
ITKC_MI_0271A	한음문고	漢陰文稿	이덕형	李德馨	1561	1613	廣州	廣州 李
ITKC_MI_0272A	추포집	秋浦集	황신	黃愼	1562	1617	昌原	昌原 黃
ITKC_MI_0273A	지봉집	芝峯集	이수광	李睟光	1563	1628	全州	全州 李
ITKC_MI_0274A	체소집	體素集	이춘영	李春英	1563	1606	全州	全州 李
ITKC_MI_0275A	수몽집	守夢集	정엽	鄭曄	1563	1625	草溪	草溪 鄭
ITKC_MI_0276A	난설헌시집	蘭雪軒詩集	허초희	許楚姬	1563	1589	陽川	陽川 許
ITKC_MI_0277A	사서집	沙西集	전식	全湜	1563	1642	沃川	沃川 全
ITKC_MI_0278A	인재집	訒齋集	최현	崔晛	1563	1640	全州	全州 崔
ITKC_MI_0279A	우복집	愚伏集	정경세	鄭經世	1563	1633	晉州	晉州 鄭
ITKC_MI_0280A	수색집	水色集	허적	許𥛚	1563	1640	陽川	陽川 許
ITKC_MI_0281A	경당집	敬堂集	장흥효	張興孝	1564	1633	安東	安東 張
ITKC_MI_0282A	월사집	月沙集	이정귀	李廷龜	1564	1635	延安	延安 李
ITKC_MI_0283A	취흘집	醉吃集	유숙	柳潚	1564	1636	興陽	興陽 柳
ITKC_MI_0284A	농포집	農圃集	정문부	鄭文孚	1565	1624	海州	海州 鄭
ITKC_MI_0285A	금계집	錦溪集	노인	魯認	1566	1622	咸平	咸平 魯
ITKC_MI_0286A	상촌고	象村稿	신흠	申欽	1566	1628	平山	平山 申
