id	title	name	birthyear	deathyear	choronym
ITKC_MI_0089A	정문익공유고(鄭文翼公遺稿)	정광필(鄭光弼)	1462년(세조 8)	1538년(중종 33)	동래(東萊)
ITKC_MI_0090A	이요정집(二樂亭集)	신용개(申用漑)	1463년(세조 9)	1519년(중종 14)	고령(高靈)
ITKC_MI_0091A	목계일고(木溪逸稿)	강혼(姜渾)	1464년(세조 10)	1519년(중종 14)	진주(晉州)
ITKC_MI_0092A	탁영집(濯纓集)	김일손(金馹孫)	1464년(세조 10)	1498년(연산군 4)	김해(金海)
ITKC_MI_0093A	수헌집(睡軒集)	권오복(權五福)	1467년(세조 13)	1498년(연산군 4)	예천(醴泉)
ITKC_MI_0094A	농암집(聾巖集)	이현보(李賢輔)	1467년(세조 13)	1555년(명종 10)	영천(永川)
ITKC_MI_0095A	망헌유고(忘軒遺稿)	이주(李胄)	미상	1504년(연산군 10)	고성(固城)
ITKC_MI_0096A	송재집(松齋集)	이우(李堣)	1469년(예종 1)	1517년(중종 12)	진보(眞寶)
ITKC_MI_0097A	허암유집(虛庵遺集)	정희량(鄭希良)	1469년(예종 1)	미상	해주(海州)
ITKC_MI_0098A	송당집(松堂集)	박영(朴英)	1471년(성종 2)	1540년(중종 35)	밀양(密陽)
ITKC_MI_0099A	이평사집(李評事集)	이목(李穆)	1471년(성종 2)	1498년(연산군 4)	전주(全州)
ITKC_MI_0100A	십청집(十淸集)	김세필(金世弼)	1473년(성종 4)	1533년(중종 28)	경주(慶州)
ITKC_MI_0101A	안분당시집(安分堂詩集)	이희보(李希輔)	1473년(성종 4)	1548년(명종 3)	평양(平壤)
ITKC_MI_0102A	우암고(寓菴稿)	홍언충(洪彥忠)	1473년(성종 4)	1508년(중종 3)	부계(缶溪)
ITKC_MI_0103A	우정집(憂亭集)	김극성(金克成)	1474년(성종 5)	1540년(중종 35)	광산(光山)
ITKC_MI_0104A	눌재집(訥齋集)	박상(朴祥)	1474년(성종 5)	1530년(중종 25)	충주(忠州)
ITKC_MI_0105A	대관재난고(大觀齋亂稿)	심의(沈義)	1475년(성종 6)	미상	풍산(豐山)
