source	target	relationship
pm000353	pm000357	HAS_SON_MGB
pm000354	pm000358	HAS_SON_MGB
pm000355	pm000359	HAS_SON_MGB
pm000356	pm000360	HAS_SON_MGB
pm000358	pm000361	HAS_SON_MGB
pm000359	pm000362	HAS_SIL_MGB
pm000359	pm000363	HAS_SON_MGB
pm000359w	pm000359	HAS_SIL_MGB
pm000360	pm000365	HAS_SON_MGB
pm000360	pm000366	HAS_SON_MGB
pm000360w	pm000360	HAS_SIL_MGB
pm000361	pm000368	HAS_SON_MGB
pm000361w	pm000361	HAS_SIL_MGB
pm000365	pm000370	HAS_SON_MGB
pm000365w1	pm000365	HAS_SIL_MGB
pm000365w2	pm000365	HAS_SIL_MGB
pm000366	pm000371	HAS_SON_MGB
pm000366w	pm000366	HAS_SIL_MGB
pm000367	pm000372	HAS_SON_MGB
pm000367	pm000373	HAS_SON_MGB
pm000367	pm000374	HAS_SON_MGB
pm000368w	pm000368	HAS_SIL_MGB
pm000370	pm000375	HAS_SON_MGB
pm000370w	pm000370	HAS_SIL_MGB
pm000371	pm000376	HAS_SON_MGB
pm000371w	pm000371	HAS_SIL_MGB
pm000375	pm000377	HAS_SON_MGB
pm000375	pm000378	HAS_SON_MGB
pm000375w	pm000375	HAS_SIL_MGB
pm000376w	pm000376	HAS_SIL_MGB
pm000377	pm000379	HAS_SON_MGB
pm000378	pm000380	HAS_SON_MGB
pm000378	pm000381	HAS_SON_MGB
pm000378w	pm000378	HAS_SIL_MGB
pm000379w	pm000379	HAS_SIL_MGB
pm000381w	pm000381	HAS_SIL_MGB
pm000382	pm000385	HAS_SON_MGB
pm000382	pm000386	HAS_SON_MGB
pm000383	pm000391	HAS_SON_MGB
pm000383	pm000392	HAS_SON_MGB
pm000383	pm000412	HAS_SON_MGB
pm000383w	pm000383	HAS_SIL_MGB
pm000384w	pm000384	HAS_SIL_MGB
pm000385	pm000393	HAS_SON_MGB
pm000385w	pm000385	HAS_SIL_MGB
pm000386	pm000395	HAS_SON_MGB
pm000386	pm000396	HAS_SON_MGB
