source	target	relationship
pm017088	pm017095	HAS_SON_MGB
pm017095w	pm017095	HAS_SIL_MGB
pm017136w	pm017136	HAS_SIL_MGB
pm017136	pm017142	HAS_SON_MGB
pm017095	pm017136	HAS_SON_MGB
pm017088	pm017095	HAS_SON_MGB
pm017095w	pm017095	HAS_SIL_MGB
pm017136w	pm017136	HAS_SIL_MGB
pm038672	pm038674	HAS_SON_MGB
pm038670	pm038672	HAS_SON_MGB
pm038667	pm038670	HAS_SON_MGB
pm038695	pm038704	HAS_SON_MGB
pm038688	pm038695	HAS_SON_MGB
pm038671	pm038688	HAS_SON_MGB
pm038695w	pm038695	HAS_SIL_MGB
pm038695	pm038705	HAS_SON_MGB
pm038688	pm038695	HAS_SON_MGB
pm038671	pm038688	HAS_SON_MGB
pm038695w	pm038695	HAS_SIL_MGB
pm043929	pm043935	HAS_SON_MGB
pm043924	pm043929	HAS_SON_MGB
pm043922	pm043924	HAS_SON_MGB
pm033692	pm033698	HAS_SIL_MGB
pm033688	pm033692	HAS_SON_MGB
pm033685	pm033688	HAS_SON_MGB
pm033692	pm033699	HAS_SON_MGB
pm033688	pm033692	HAS_SON_MGB
pm033685	pm033688	HAS_SON_MGB
pm055768	pm055770	HAS_SON_MGB
pm055767	pm055768	HAS_SON_MGB
pm055766	pm055767	HAS_SON_MGB
pm055767w	pm055767	HAS_SIL_MGB
pm055768w	pm055768	HAS_SIL_MGB
pm000663	pm000669	HAS_SON_MGB
pm000656	pm000663	HAS_SON_MGB
pm000648	pm000656	HAS_SON_MGB
pm000663	pm000670	HAS_SON_MGB
pm000656	pm000663	HAS_SON_MGB
pm000648	pm000656	HAS_SON_MGB
pm000663	pm000699	HAS_SON_MGB
pm000656	pm000663	HAS_SON_MGB
pm000648	pm000656	HAS_SON_MGB
pm034128	pm034130	HAS_SIL_MGB
pm034127	pm034128	HAS_SON_MGB
pm034126	pm034127	HAS_SON_MGB
pm034127w	pm034127	HAS_SIL_MGB
pm034128w	pm034128	HAS_SIL_MGB
pm034128	pm034131	HAS_SON_MGB
pm034127	pm034128	HAS_SON_MGB
pm034126	pm034127	HAS_SON_MGB
pm034127w	pm034127	HAS_SIL_MGB
pm034128w	pm034128	HAS_SIL_MGB
pm034128	pm034132	HAS_SON_MGB
pm034127	pm034128	HAS_SON_MGB
pm034126	pm034127	HAS_SON_MGB
pm034127w	pm034127	HAS_SIL_MGB
pm034128w	pm034128	HAS_SIL_MGB
pm034128	pm034133	HAS_SON_MGB
pm034127	pm034128	HAS_SON_MGB
pm034126	pm034127	HAS_SON_MGB
pm034127w	pm034127	HAS_SIL_MGB
pm034128w	pm034128	HAS_SIL_MGB
pm034128	pm034134	HAS_SON_MGB
pm034127	pm034128	HAS_SON_MGB
pm034126	pm034127	HAS_SON_MGB
pm034127w	pm034127	HAS_SIL_MGB
pm034128w	pm034128	HAS_SIL_MGB
pm068944	pm068951	HAS_SON_MGB
pm068921	pm068944	HAS_SON_MGB
pm068916	pm068921	HAS_SON_MGB
pm068921w	pm068921	HAS_SIL_MGB
pm068944w	pm068944	HAS_SIL_MGB
pm068944	pm068952	HAS_SON_MGB
pm068921	pm068944	HAS_SON_MGB
pm068916	pm068921	HAS_SON_MGB
pm068921w	pm068921	HAS_SIL_MGB
pm068944w	pm068944	HAS_SIL_MGB
pm068944	pm068953	HAS_SON_MGB
pm068921	pm068944	HAS_SON_MGB
pm068916	pm068921	HAS_SON_MGB
pm068921w	pm068921	HAS_SIL_MGB
pm068944w	pm068944	HAS_SIL_MGB
pm073059	pm073061	HAS_SON_MGB
pm073055	pm073059	HAS_SON_MGB
